Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
153639416,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,2,6,False
153639417,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,2,6,True
153639417,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,2,6,False
153639418,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,2,6,True
153639419,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,2,6,True
153639420,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,0,3,True
153639421,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0,2,6,True
153639422,Work,Google Chrome :: https://developer.spotify.com/documentation/web-playback-sdk/quick-start,0,2,6,True
153639423,Work,Google Chrome :: https://stackoverflow.com/questions/48760545/how-to-know-when-the-user-changes-the-song-with-the-spotify-ap,0,2,6,True
153639424,Work,Google Chrome :: https://api.spotify.com/v1/me/player/currently-playin,0,1,6,True
153639425,Work,Google Chrome :: https://api.spotify.com,2,2,6,True
153639426,Work,Google Chrome :: https://developer.spotify.com,0,2,6,True
153639427,Work,Google Chrome :: https://developer.spotify.com,0,2,6,True
153639428,Work,Google Chrome :: https://developer.spotify.com,0,2,6,True
153639428,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,6,True
153639429,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,2,4,True
153639430,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,1,6,False
153639431,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,0,6,False
153639432,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api,0,0,6,True
