,Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
0,153638395,0,Atom,0.2692307692307692,2,6,0
1,153638392,0,Atom,0.019230769230769232,2,6,1
2,153638396,0,Atom,0.15384615384615385,0,6,1
3,153638397,0,Atom,0.5576923076923077,2,6,1
4,153638394,0,Atom,0.11538461538461539,2,3,1
5,153638393,0,Atom,0.0,2,6,1
6,153638802,1,Spotify,0.0,2,6,1
7,153638802,0,Atom,0.0,2,6,1
8,153638803,0,Atom,0.0,2,6,1
9,153638804,0,Atom,0.0,2,6,1
10,153638805,0,Atom,0.0,0,6,1
11,153638806,0,Atom,0.0,2,6,1
12,153638807,0,Atom,0.0,2,6,1
13,153638808,0,Atom,0.0,2,0,1
14,153638809,0,Atom,0.0,0,6,1
15,153638810,0,Atom,0.0,2,6,1
16,153638811,0,Atom,0.0,2,6,1
17,153638812,0,Atom,0.0,2,6,1
18,153638813,1,Spotify,0.0,2,6,1
19,153638813,0,Atom,0.0,1,6,1
20,153638814,0,Atom,0.0,2,0,0
21,153638815,1,Spotify,0.0,2,6,1
22,153638816,0,Atom,0.0,2,6,1
23,153638835,0,Terminal,0.3076923076923077,0,6,1
24,153638398,0,Atom,0.3076923076923077,1,6,1
25,153638800,1,Spotify,0.057692307692307696,2,6,1
26,153638801,1,Spotify,0.0,2,6,1
27,153638836,0,Terminal,0.5,2,6,1
28,153638837,0,Terminal,0.17307692307692307,0,6,1
29,153638838,0,Terminal,0.038461538461538464,2,6,1
30,153638839,0,Terminal,0.19230769230769232,2,6,1
31,153638840,0,Terminal,0.28846153846153844,2,6,0
32,153638852,0,Terminal,0.15384615384615385,2,0,1
33,153638853,0,Terminal,0.21153846153846154,0,6,1
34,153638853,0,Terminal,0.17307692307692307,0,6,1
35,153638854,0,Terminal,0.2692307692307692,2,6,1
36,153638855,0,Terminal,0.4230769230769231,2,6,1
37,153638856,0,Terminal,0.0,2,6,1
38,153638857,0,Terminal,0.0,2,6,1
39,153638859,0,Terminal,0.0,2,6,1
40,153638862,0,Terminal,0.34615384615384615,2,6,1
41,153638863,0,Terminal,0.46153846153846156,2,6,1
42,153638858,0,Terminal,0.0,1,6,1
43,153638864,0,Terminal,0.0,1,6,0
44,153638865,0,Terminal,0.0,2,6,1
45,153638866,0,Terminal,0.0,2,6,1
46,153638861,0,Terminal,0.3269230769230769,2,6,1
47,153638868,0,Terminal,0.0,2,6,1
48,153638869,0,Terminal,0.0,0,6,1
49,153638870,0,Terminal,0.0,2,6,1
50,153638871,0,Terminal,0.0,2,6,1
51,153638872,0,Terminal,0.0,2,0,1
52,153638873,0,Terminal,0.0,2,6,1
53,153638874,0,Terminal,0.0,0,6,1
54,153638874,0,Terminal,0.0,2,6,0
55,153638860,0,Terminal,0.25,2,6,1
56,153638875,0,Terminal,0.0,2,6,1
57,153638876,0,Terminal,0.0,0,6,1
58,153638877,0,Terminal,0.0,2,6,1
59,153638880,0,Terminal,0.11538461538461539,2,6,1
60,153638881,0,Terminal,0.15384615384615385,1,6,1
61,153638881,0,Terminal,0.38461538461538464,0,6,1
62,153638863,0,Terminal,0.7115384615384616,2,6,1
63,153638867,0,Terminal,0.0,0,6,1
64,153638883,0,Terminal,0.38461538461538464,0,6,1
65,153638886,0,Atom,0.0,2,3,0
66,153638887,0,Atom,0.0,2,6,0
67,153638888,0,Terminal,0.0,2,6,1
68,153638889,0,Terminal,0.0,2,6,1
69,153638890,0,Terminal,0.0,2,6,1
70,153638891,0,Terminal,0.0,0,6,1
71,153638891,0,Terminal,0.0,0,6,0
72,153639365,0,Atom,0.019230769230769232,0,6,1
